date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:29:35	69/69	---M-Z	200	added ('OK')	text/plain	date:Wed,%2027%20Sep%202023%2005:29:34%20GMT	https://templatekit.jegtheme.com/robots.txt		(from )
12:29:36	107998/107998	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Sep%202023%2005:29:36%20GMT	https://templatekit.jegtheme.com/robbie-and-magie/	/Users/duchoang/websites/Wedding/templatekit.jegtheme.com/robbie-and-magie/index.html	(from )
12:29:37	94549/94549	---M-Z	200	added ('OK')	text/css	etag:%2217155-5f6bf989a78c0;6063a0fc54817	https://templatekit.jegtheme.com/robbie-and-magie/wp-content/plugins/bdthemes-element-pack-lite/assets/css/bdt-uikit.css?ver=3.13.1	/Users/duchoang/websites/Wedding/templatekit.jegtheme.com/robbie-and-magie/wp-content/plugins/bdthemes-element-pack-lite/assets/css/bdt-uikit2916.css	(from https://templatekit.jegtheme.com/robbie-and-magie/)
12:29:38	39424/39424	---M-Z	200	added ('OK')	text/css	etag:%229a00-5f6bf989a78c0;6063a0fc54817	https://templatekit.jegtheme.com/robbie-and-magie/wp-content/plugins/bdthemes-element-pack-lite/assets/css/ep-helper.css?ver=4.9.0	/Users/duchoang/websites/Wedding/templatekit.jegtheme.com/robbie-and-magie/wp-content/plugins/bdthemes-element-pack-lite/assets/css/ep-helperd227.css	(from https://templatekit.jegtheme.com/robbie-and-magie/)
12:29:39	22842/22842	---M-Z	200	added ('OK')	application/rss+xml	etag:%22b7dac5d86604398bf08715a29d58239b-gzip%22	https://templatekit.jegtheme.com/robbie-and-magie/feed/	/Users/duchoang/websites/Wedding/templatekit.jegtheme.com/robbie-and-magie/feed/index.html	(from https://templatekit.jegtheme.com/robbie-and-magie/)
12:29:39	197048/197048	---M-Z	200	added ('OK')	text/css	etag:%22301b8-6063a0fc3b1d6;6063a0fc54817	https://templatekit.jegtheme.com/robbie-and-magie/wp-content/plugins/jeg-elementor-kit/assets/css/elements/main.css?ver=2.6.2	/Users/duchoang/websites/Wedding/templatekit.jegtheme.com/robbie-and-magie/wp-content/plugins/jeg-elementor-kit/assets/css/elements/main61da.css	(from https://templatekit.jegtheme.com/robbie-and-magie/)
12:29:39	820/820	---M-Z	200	added ('OK')	application/rss+xml	etag:%22b7dac5d86604398bf08715a29d58239b-gzip%22	https://templatekit.jegtheme.com/robbie-and-magie/comments/feed/	/Users/duchoang/websites/Wedding/templatekit.jegtheme.com/robbie-and-magie/comments/feed/index.html	(from https://templatekit.jegtheme.com/robbie-and-magie/)
12:29:40	95021/95021	---M-Z	200	added ('OK')	text/css	etag:%221732d-5fc1d01ccbf80;6063a0fc54817	https://templatekit.jegtheme.com/robbie-and-magie/wp-includes/css/dist/block-library/style.min.css?ver=6.1.3	/Users/duchoang/websites/Wedding/templatekit.jegtheme.com/robbie-and-magie/wp-includes/css/dist/block-library/style.min6fb3.css	(from https://templatekit.jegtheme.com/robbie-and-magie/)
12:29:40	217/217	---M-Z	200	added ('OK')	text/css	etag:%22d9-5ef5fe74bf640;6063a0fc54817	https://templatekit.jegtheme.com/robbie-and-magie/wp-includes/css/classic-themes.min.css?ver=1	/Users/duchoang/websites/Wedding/templatekit.jegtheme.com/robbie-and-magie/wp-includes/css/classic-themes.min68b3.css	(from https://templatekit.jegtheme.com/robbie-and-magie/)
12:29:41	98/98	---M-Z	200	added ('OK')	text/css	etag:%2262-5f312659863c0;6063a0fc54817	https://templatekit.jegtheme.com/robbie-and-magie/wp-content/plugins/allow-webp-image/public/css/allow-webp-image-public.css?ver=1.0.1	/Users/duchoang/websites/Wedding/templatekit.jegtheme.com/robbie-and-magie/wp-content/plugins/allow-webp-image/public/css/allow-webp-image-publicf269.css	(from https://templatekit.jegtheme.com/robbie-and-magie/)
